idx,name,lat,lon,r
,,,,
1,서울특별시36.740069,127.531673,14,
,,,,
2,강원도,36.3732178,127.3187599,20
,,,,
3,경기도,126.8494654,42,
,,,,
4,경상도,35.1646501,128.9317152,25
,,,,
5,전라도,126.887884,28,
,,,,
6,제주도,126.5204118,25,
